NBTB
IEX
IBOC
HON
CHFC
JKHY
TDY
IVZ
TRMK
CBU
ITW
AMG
PFG
HIW
CINF
TXN
PRU
LBAI
ADI
TMK
SGEN
JWN
BHE
WRI
ARW
FFIN
PH
RS
SXT
DVN
ETN
SLB
HP
CBSH
ADP
ALNY
WLL
BMRN
SYK
THFF
TEN
TER
HST
VFC
CELG
ROC
CLR
L
XEL
SYBT
AFG
AVT
DOV
PPG
FISV
TROW
LEN
MCHP
XRAY
NUE
EME
BEN
AME
DHR
DAN
VVC
MRO
MAR
SRCE
HSIC
SNA
IDA
DLX
CBS
PVH
SPG
LNC
ACO
CAKE
SSD
B
AMP
FLS
HIG
MAS
MKSI
BBT
A
RJF
MKC
FLR
PFS
RNST
JPM
USB
CRZO
KAMN
DTE
UVSP
EMN
HES
LB
CPT
REG
FNB
CW
WFC
PNW
PHM
CFR
WEC
CAT
CVX
DRE
LNT
STI
MSA
HOT
DNR
ODFL
AINV
WASH
INDB
GRA
COP
MTX
INCY
SON
EV
DIS
ESV
LECO
BC
WABC
WSBC
JEC
PEP
LEG
AMGN
HAL
PAG
TXRH
RPM
MET
PLD
MHK
KEY
PB
CMI
ABG
BXP
SGMO
TR
BDC
NBR
M
AMAT
R
AET
USG
UTX
FCS
LHO
DOW
WYN
CE
SHO
AKR
OMC
ATR
WBS
HL
APH
RE
UNM
UDR
PRK
ROL
GWR
WRE
SHOO
GBCI
SWX
MEAS
IP
CLDX
MATW
EQY
CXO
PX
AVA
NOV
SCCO
MBFI
MMC
BANF
MLI
TRN
SIAL
GD
WRB
TRST
TOWN
EGP
MMM
ATI
RDC
WERN
KIM
TKR
JBHT
MDT
MLHR
LLTC
MTD
ENTG
PL
HCN
JDSU
ALK
SASR
VTR
USTR
DRH
SF
OIS
KNX
CHS
BUSE
TMO
LSTR
BAC
EMC
JNJ
MGEE
SPN
WTS
DEI
EQR
ROLL
IVR
GIS
PFE
KO
DX
ONNN
ATO
C
FITB
GABC
NBIX
FOX
CMS
BRKS
UNP
STLD
LUV
CTBI
PTEN
SM
SCHW
TMP
ROK
AFL
BDX
WNR
PXD
PAYX
AIT
CMO
HPT
HALO
RHT
WWW
EOG
WDR
ANSS
ARCC
OXY
AXS
WAT
MUR
ES
LPNT
VLO
AROW
CATO
IRF
WAB
RF
HFC
HLS
CAH
GPI
FCX
CL
TOL
MDC
FDX
NOC
TIF
NEM
CPLA
SCG
NLY
MSCC
SAH
DAL
BKE
DCI
CRS
PSA
BLL
DW
MO
MAN
FMBI
CMCSA
CAC
CDE
CBRL
CMA
UPS
AIMC
LM
ACGL
UNH
CNQR
HRL
PNNT
MXIM
SWKS
ATU
CYS
NPBC
MYL
RYL
NHI
TSO
FCBC
CR
PNR
NE
ANTM
MGM
JJSF
KRC
FSP
CI
EGN
BWA
PNC
UBSI
CATY
HNI
FRT
GPC
UHS
BOH
FUL
AMSG
GSBC
FL
KBALB
COL
ADVS
CPB
LXP
STWD
EXP
EFX
LKFN
DRQ
ROP
AMTD
UNT
NJR
NHC
GGG
UBSH
UMPQ
GPS
WST
HR
PCAR
KMT
ATMI
STRA
MTW
CMC
CYT
BBG
PKG
CMCSK
RHI
AEP
LUK
KLAC
SFY
ATW
HFWA
SEIC
RNR
EAT
MSM
NU
WTI
APA
BK
BRKL
RRC
WGL
STBA
ROST
DHI
POOL
LEA
PG
AXL
NDSN
AVB
ZBH
UAL
DE
FNSR
ADSK
SWC
SCBT
COF
POL
DCT
CECO
MDP
DISCA
NBL
JRN
ARE
GPK
WM
HXL
FFBC
SNPS
AGCO
SAFT
UMBF
RGLD
NATI
OGE
FULT
PSEC
WWD
FNLC
ALB
ESL
BLK
AVX
CIEN
WLK
MCRL
BOKF
CNP
FOXA
TEL
ONB
SHEN
PDCO
RIG
SPW
FBNC
KNL
DUK
XOM
MHO
ARNC
IPCC
FELE
ITT
OFC
CSU
MS
EXR
DV
COLB
WAL
LRCX
CAM
BWINB
CTXS
NWE
EXPD
HAYN
MWV
AJG
PKE
GVA
TEX
CHCO
SFNC
BMTC
LVS
AIV
ACN
HOMB
NKTR
X
INTC
KMB
EMR
SWK
WTFC
TCBK
JNS
XLNX
ARCB
BEAV
SNHY
DCOM
WBC
WTR
ALXN
LH
NWBI
CVBF
CCNE
ARI
WHG
AIN
PCLN
MGRC
PEBO
ICGE
SFL
BA
NYT
EPR
CDNS
VMC
HTS
RSG
PKI
LLL
WCC
FFIC
HUN
DRI
CNX
ZION
WOR
KSS
RGA
FCF
BKD
IMGN
PCH
CERN
CFNL
GBX
K
SCI
CTS
FFG
KSU
JBLU
BDGE
MSFG
VSH
AOS
TJX
FAST
SMTC
SIGI
DEL
HD
MCK
NSC
PM
GMT
ACE
KWR
ROSE
FISI
FRME
ED
RAI
VLY
COH
LKQ
GFF
DFS
GT
CSL
CA
LANC
NDAQ
MCRS
BDN
JBL
LOPE
CZNC
MOS
NEOG
ABM
ISBC
T
SWN
RL
ASBC
BYD
EFII
TYC
NTRS
KFY
POR
MPWR
PNFP
F
BHI
AYR
LAZ
AXE
AN
TWX
ATLO
RTN
TGNA
CNBC
CEB
CNA
KELYA
PES
JLL
ROCK
EFSC
XL
ALE
GBLI
TK
VMW
CVG
CME
KBH
JBT
RBC
SE
FCNCA
NKE
OZRK
BHLB
GBL
CCMP
HTLF
MAC
BKMU
APD
LAD
ALKS
MA
AEO
AHL
AGN
DISCK
CY
OMI
AF
FTI
CRIS
ORLY
DDR
CLI
ENDP
DKS
PRE
VZ
MFA
SBNY
CBG
MTB
SUSQ
H
EWBC
STL
HOS
HTLD
SBGI
HOG
GDP
HT
WSFS
ARRY
SSP
KBR
CNOB
EVR
BWS
HBHC
HVB
OI
MSEX
ZMH
GOLD
BBBY
TNK
BAX
ENVE
CBL
NNI
WDFC
MCO
TEG
NFBK
CNO
ESGR
TRV
AKS
TYL
NVAX
WCG
CLC
CWEI
SSI
JACK
ABC
COLM
PEG
BNCL
RPT
HOLX
OHI
GLT
ABCB
BIIB
GNCMA
TSS
ULTI
DST
DGX
MCS
NX
PGR
BR
AON
THG
GOOGL
BZH
IR
AVGO
HEI
HCSG
THC
ALJ
GK
FPO
PLXS
AGII
WTBA
GE
FICO
WSM
HNT
HBI
EBF
CBT
UNF
HMN
CFFN
AFAM
SCHN
APC
COST
ALL
MTRN
NAVG
FMER
BXS
UBA
LINTA
KOP
XCRA
CSGP
FR
AEIS
FMC
CASS
IBKC
FLIC
CRL
CCK
AIZ
EGBN
MNR
MU
GCO
CSFL
AAON
KRNY
HI
ETFC
OCFC
SJM
ELRC
SGK
UFCS
GILD
RLI
FDS
RCL
BGG
GRC
MRK
CB
TNC
ISCA
PCBK
THO
BIO
ODP
EXPO
URI
NOG
PRGS
BMS
NP
BFIN
VMI
LII
FCFS
TECD
EQT
DLTR
CFX
PJC
WEX
ZIGO
UTHR
NFX
NSIT
NYCB
LG
IDTI
TG
TIVO
DDS
VNO
TESO
SBSI
CNK
JCI
CYH
TCBI
BLKB
SANM
PSB
CCL
LSI
ACM
OC
AIG
MLM
MHLD
BSRR
COBZ
CMCO
